date,symbol,equity,cash,shares,spot,cost_basis
2023-05-26,SPY,100000.0,100000.0,0,420.02,
2023-06-26,SPY,100663.31,100663.31,0,431.44,
2023-07-24,SPY,100663.31,100663.31,0,454.2,
2023-08-21,SPY,100663.31,100663.31,0,439.34,
2023-09-18,SPY,100663.31,100663.31,0,443.63,
2023-10-16,SPY,100663.31,100663.31,0,436.04,
2023-11-13,SPY,100663.31,100663.31,0,440.19,
2023-12-11,SPY,100663.31,100663.31,0,461.99,
2024-01-08,SPY,100663.31,100663.31,0,474.6,
2024-02-05,SPY,100663.31,100663.31,0,492.55,
2024-03-04,SPY,100663.31,100663.31,0,512.3,
2024-04-01,SPY,100663.31,100663.31,0,522.16,
2024-04-29,SPY,100663.31,100663.31,0,510.06,
2024-05-28,SPY,100663.31,100663.31,0,529.81,
2024-06-25,SPY,100663.31,100663.31,0,544.83,
2024-07-23,SPY,100663.31,100663.31,0,553.78,
2024-08-20,SPY,100663.31,100663.31,0,558.7,
2024-09-17,SPY,100663.31,100663.31,0,563.07,
2024-10-21,SPY,101226.61,101226.61,0,583.63,
2024-11-18,SPY,101714.9,101714.9,0,588.15,
2024-12-16,SPY,101714.9,101714.9,0,606.79,
2025-01-13,SPY,101714.9,101714.9,0,581.39,
2025-02-10,SPY,101714.9,101714.9,0,604.85,
2025-03-10,SPY,101714.9,101714.9,0,560.58,
2025-04-07,SPY,101714.9,101714.9,0,504.38,
2025-05-05,SPY,102786.84,102786.84,0,563.51,
2025-06-02,SPY,103768.15,103768.15,0,592.71,
2025-06-30,SPY,104908.01,104908.01,0,617.85,
2025-07-28,SPY,106036.21,106036.21,0,636.94,
2025-08-25,SPY,106036.21,106036.21,0,642.47,
2025-09-22,SPY,106036.21,106036.21,0,666.84,
2025-10-20,SPY,106036.21,106036.21,0,671.3,
2025-11-17,SPY,106036.21,106036.21,0,665.67,
2025-12-15,SPY,106036.21,106036.21,0,680.73,
2026-01-12,SPY,106036.21,106036.21,0,695.16,
2026-02-09,SPY,106036.21,106036.21,0,693.95,
2026-03-09,SPY,106036.21,106036.21,0,678.27,
2026-04-06,SPY,106036.21,106036.21,0,658.93,
2026-05-04,SPY,106538.28,106538.28,0,718.01,
2023-05-26,QQQ,100000.0,100000.0,0,348.4,
2023-06-23,QQQ,100000.0,100000.0,0,362.54,
2023-07-21,QQQ,100000.0,100000.0,0,375.63,
2023-08-21,QQQ,100471.33,27691.33,200,363.9,361.5433
2023-09-18,QQQ,102494.57,28362.57,200,370.66,358.1871
2023-10-16,QQQ,103023.25,29141.25,200,369.41,354.2937
2023-11-13,QQQ,105297.57,29855.57,200,377.21,350.7221
2023-12-11,QQQ,108599.39,108599.39,0,395.52,
2024-01-08,QQQ,109264.44,109264.44,0,404.95,
2024-02-05,QQQ,109902.27,109902.27,0,428.45,
2024-03-04,QQQ,110583.41,110583.41,0,444.02,
2024-04-01,QQQ,111323.22,111323.22,0,444.95,
2024-04-29,QQQ,111632.14,25082.14,200,432.75,431.2054
2024-05-28,QQQ,114959.93,114959.93,0,459.68,
2024-06-25,QQQ,114959.93,114959.93,0,479.38,
2024-07-23,QQQ,114959.93,114959.93,0,480.62,
2024-08-26,QQQ,115868.72,115868.72,0,475.34,
2024-09-23,QQQ,116969.17,116969.17,0,483.04,
2024-10-21,QQQ,118151.73,118151.73,0,495.42,
2024-11-18,QQQ,119431.1,119431.1,0,500.02,
2024-12-16,QQQ,120319.63,120319.63,0,538.17,
2025-01-13,QQQ,117249.29,16137.29,200,505.56,520.9117
2025-02-24,QQQ,122482.96,122482.96,0,519.87,
2025-03-24,QQQ,120552.44,22420.44,200,490.66,500.3126
2025-04-21,QQQ,110306.19,23684.19,200,433.11,493.9938
2025-06-02,QQQ,123904.51,123904.51,0,523.21,
2025-06-30,QQQ,126192.04,126192.04,0,551.64,
2025-07-28,QQQ,128527.96,128527.96,0,568.14,
2025-08-25,QQQ,128527.96,128527.96,0,570.32,
2025-09-22,QQQ,129316.54,129316.54,0,602.2,
2025-10-20,QQQ,129316.54,129316.54,0,611.54,
2025-11-17,QQQ,130270.65,130270.65,0,603.66,
2025-12-15,QQQ,131339.28,131339.28,0,610.54,
2026-01-12,QQQ,132495.82,132495.82,0,627.17,
2026-02-09,QQQ,134568.14,11704.14,200,614.32,603.9584
2026-03-09,QQQ,134621.05,13069.05,200,607.76,597.1338
2026-04-06,QQQ,131817.11,14117.11,200,588.5,591.8935
2026-05-04,QQQ,136505.56,136505.56,0,672.88,
2023-05-26,IWM,100000.0,100000.0,0,176.15,
2023-06-26,IWM,100983.95,100983.95,0,180.75,
2023-07-24,IWM,101802.32,101802.32,0,194.94,
2023-08-21,IWM,100067.15,7877.15,500,184.38,187.8503
2023-09-18,IWM,99971.8,8776.8,500,182.39,186.0511
2023-10-23,IWM,92231.75,9716.75,500,165.03,184.1712
2023-11-20,IWM,99383.55,9718.55,500,179.33,184.1676
2023-12-18,IWM,103486.42,103486.42,0,197.11,
2024-01-16,IWM,104666.42,104666.42,0,190.84,
2024-02-20,IWM,105889.02,105889.02,0,198.88,
2024-03-25,IWM,107080.15,107080.15,0,205.54,
2024-04-22,IWM,106889.03,9239.02,500,195.3,195.6823
2024-05-20,IWM,111649.27,111649.27,0,208.54,
2024-06-17,IWM,111398.8,11198.8,500,200.4,200.9009
2024-07-22,IWM,116092.05,116092.05,0,220.29,
2024-08-19,IWM,117348.35,9748.35,500,215.2,212.6874
2024-09-16,IWM,120158.08,11353.07,500,217.61,209.4779
2024-10-14,IWM,124248.37,12803.37,500,222.89,206.5773
2024-11-11,IWM,130556.42,130556.42,0,241.7,
2024-12-09,IWM,131743.22,131743.22,0,237.73,
2025-01-06,IWM,130146.73,17886.72,500,224.52,227.713
2025-02-03,IWM,131235.28,19320.27,500,223.83,224.8459
2025-03-03,IWM,125056.37,20666.37,500,208.78,222.1537
2025-04-14,IWM,114632.25,21367.25,500,186.53,220.752
2025-05-27,IWM,125585.72,21735.72,500,207.7,220.015
2025-07-07,IWM,135432.87,135432.87,0,219.73,
2025-08-04,IWM,137805.51,137805.51,0,219.73,
2025-09-02,IWM,138958.65,138958.65,0,233.9,
2025-10-06,IWM,140611.6,140611.6,0,246.81,
2025-11-03,IWM,141728.82,141728.82,0,245.44,
2025-12-01,IWM,142829.52,142829.52,0,245.62,
2025-12-29,IWM,144289.23,144289.23,0,249.88,
2026-01-26,IWM,145657.18,145657.18,0,263.98,
2026-02-23,IWM,146715.31,146715.31,0,260.49,
2026-03-23,IWM,146715.31,146715.31,0,247.45,
2026-04-20,IWM,148106.17,148106.17,0,277.35,
2026-05-18,IWM,149301.54,149301.54,0,275.97,
2023-05-26,DIA,100000.0,100000.0,0,330.84,
2023-06-23,DIA,100000.0,100000.0,0,337.16,
2023-07-21,DIA,100000.0,100000.0,0,352.14,
2023-08-18,DIA,100000.0,100000.0,0,345.12,
2023-09-15,DIA,100000.0,100000.0,0,346.14,
2023-10-13,DIA,100000.0,100000.0,0,336.68,
2023-11-10,DIA,100000.0,100000.0,0,343.01,
2023-12-08,DIA,100000.0,100000.0,0,363.12,
2024-01-05,DIA,100000.0,100000.0,0,374.64,
2024-02-02,DIA,100000.0,100000.0,0,386.42,
2024-03-01,DIA,100000.0,100000.0,0,391.31,
2024-04-01,DIA,100000.0,100000.0,0,395.33,
2024-04-29,DIA,100000.0,100000.0,0,383.8,
2024-05-28,DIA,100000.0,100000.0,0,388.6,
2024-06-25,DIA,100000.0,100000.0,0,391.02,
2024-07-23,DIA,100000.0,100000.0,0,403.49,
2024-08-20,DIA,100000.0,100000.0,0,408.56,
2024-09-17,DIA,100000.0,100000.0,0,417.26,
2024-10-15,DIA,100000.0,100000.0,0,427.54,
2024-11-12,DIA,100000.0,100000.0,0,439.39,
2024-12-10,DIA,100000.0,100000.0,0,443.69,
2025-01-07,DIA,100000.0,100000.0,0,425.33,
2025-02-04,DIA,100000.0,100000.0,0,445.53,
2025-03-04,DIA,100000.0,100000.0,0,425.57,
2025-04-01,DIA,100000.0,100000.0,0,419.59,
2025-04-29,DIA,100000.0,100000.0,0,405.21,
2025-06-02,DIA,101149.02,101149.02,0,423.71,
2025-06-30,DIA,102336.66,102336.66,0,440.65,
2025-07-28,DIA,103734.4,103734.4,0,448.34,
2025-08-25,DIA,103734.4,103734.4,0,453.07,
2025-09-22,DIA,103734.4,103734.4,0,463.67,
2025-10-20,DIA,103734.4,103734.4,0,467.02,
2025-11-17,DIA,103734.4,103734.4,0,466.32,
2025-12-15,DIA,103734.4,103734.4,0,485.17,
2026-01-12,DIA,103734.4,103734.4,0,495.9,
2026-02-09,DIA,103734.4,103734.4,0,501.22,
2026-03-09,DIA,103734.4,103734.4,0,477.88,
2026-04-06,DIA,103758.69,10404.69,200,466.77,466.6486
2026-05-11,DIA,107345.95,107345.95,0,497.11,
2023-05-26,XLK,100000.0,100000.0,0,82.39,
2023-06-26,XLK,101108.98,101108.98,0,83.72,
2023-07-24,XLK,101991.1,101991.1,0,88.22,
2023-08-21,XLK,100915.41,8454.91,1100,84.055,85.0329
2023-09-25,XLK,100340.99,9623.99,1100,82.47,83.9701
2023-10-23,XLK,100803.6,10532.09,1100,82.065,83.1445
2023-11-27,XLK,105084.3,105084.3,0,92.2,
2023-12-26,XLK,106084.03,106084.03,0,96.425,
2024-01-29,XLK,107079.64,107079.64,0,101.8,
2024-02-26,XLK,107079.64,107079.64,0,102.745,
2024-03-25,XLK,107921.94,107921.94,0,104.26,
2024-04-22,XLK,107921.94,107921.94,0,97.125,
2024-05-20,XLK,108831.64,108831.64,0,107.155,
2024-06-24,XLK,109750.49,109750.49,0,111.21,
2024-07-22,XLK,110614.74,110614.74,0,113.05,
2024-08-19,XLK,111928.35,111928.35,0,112.525,
2024-09-16,XLK,113507.35,113507.35,0,109.8,
2024-10-14,XLK,115397.6,115397.6,0,116.91,
2024-11-11,XLK,116891.7,116891.7,0,117.925,
2024-12-09,XLK,118101.35,118101.35,0,119.635,
2025-01-06,XLK,119020.65,119020.65,0,119.375,
2025-02-03,XLK,119960.85,119960.85,0,113.85,
2025-03-03,XLK,121386.15,121386.15,0,109.335,
2025-03-31,XLK,120795.28,7231.28,1100,103.24,103.7772
2025-04-28,XLK,123634.77,9163.26,1100,104.065,102.0208
2025-05-27,XLK,135738.17,135738.17,0,116.1,
2025-06-30,XLK,139319.99,139319.99,0,126.615,
2025-07-28,XLK,142740.72,142740.72,0,132.04,
2025-08-25,XLK,142740.72,142740.72,0,130.915,
2025-09-22,XLK,142740.72,142740.72,0,141.33,
2025-10-20,XLK,142740.72,142740.72,0,144.095,
2025-11-17,XLK,143934.02,143934.02,0,141.82,
2025-12-15,XLK,145346.37,145346.37,0,142.3,
2026-01-12,XLK,146915.62,146915.62,0,146.79,
2026-02-09,XLK,148149.32,148149.32,0,143.35,
2026-03-09,XLK,151905.26,12145.27,1000,139.76,136.0041
2026-04-06,XLK,150734.82,13954.82,1000,136.78,134.1945
2026-05-04,XLK,158447.62,158447.62,0,162.05,
2023-05-26,XLF,100000.0,100000.0,0,32.11,
2023-06-26,XLF,101344.64,101344.64,0,32.67,
2023-07-24,XLF,101344.64,101344.64,0,35.6,
2023-08-21,XLF,101344.64,101344.64,0,33.94,
