symbol,start,end,start_equity,end_equity,cagr,max_drawdown,sharpe,sortino,assignment_rate,cc_recovery_cycles,win_rate,buy_hold_end_equity,buy_hold_cagr
SPY,2023-05-26,2026-05-22,100000.0,107072.18,0.0231,0.0,7.5943,0.0,0.0,0,1.0,177524.89,0.2116
QQQ,2023-05-26,2026-05-22,100000.0,138048.26,0.1139,-0.0994,4.9624,4.3255,0.1923,6,0.6562,205952.92,0.2734
IWM,2023-05-26,2026-05-22,100000.0,150512.89,0.1466,-0.1299,5.3113,5.4444,0.1852,9,0.6111,161862.05,0.1748
DIA,2023-05-26,2026-05-22,100000.0,108044.18,0.0262,0.0,4.6784,0.0,0.1667,0,0.8333,152980.29,0.1528
XLK,2023-05-26,2026-05-22,100000.0,160489.47,0.1714,-0.0162,10.6173,79.6545,0.1034,4,0.7879,218946.47,0.2997
XLF,2023-05-26,2026-05-22,100000.0,123636.2,0.0735,-0.0267,5.8392,11.8848,0.125,7,0.4667,161756.45,0.1745
XLE,2023-05-26,2026-05-22,100000.0,142393.17,0.1255,-0.124,4.8799,3.0442,0.1304,12,0.5714,151047.36,0.1479
XLV,2023-05-26,2026-05-22,100000.0,110227.77,0.0331,-0.0567,2.0983,0.7166,0.4,6,0.2727,117533.13,0.0555
XLP,2023-05-26,2026-05-22,100000.0,106135.4,0.0201,-0.0297,2.1249,0.0,0.2,3,0.5,115484.14,0.0493
XLU,2023-05-26,2026-05-22,100000.0,115583.81,0.0496,0.0,11.1768,0.0,0.0,0,1.0,140424.22,0.1203
XLI,2023-05-26,2026-05-22,100000.0,116663.77,0.0529,-0.0719,2.7149,2.92,0.25,7,0.4737,174669.52,0.2051
XLY,2023-05-26,2026-05-22,100000.0,146450.57,0.1361,-0.1447,4.7138,4.3946,0.1667,14,0.4688,156846.75,0.1625
SMH,2023-05-26,2026-05-22,100000.0,160546.19,0.1716,-0.1626,5.0035,5.4569,0.1429,10,0.6316,391096.64,0.578
SOXX,2023-05-26,2026-05-22,100000.0,182443.61,0.2228,-0.1684,7.284,6.3603,0.1481,12,0.5897,329199.28,0.4896
TLT,2023-05-26,2026-05-22,100000.0,117816.05,0.0564,-0.0539,3.6247,3.7778,0.3,13,0.3043,83766.94,-0.0575
GLD,2023-05-26,2026-05-22,100000.0,115657.91,0.0499,-0.0156,10.2085,7.1796,0.0556,2,0.85,228730.94,0.3188
