symbol,phase,contracts,entry_date,expiration,contract_symbol,strike,premium,entry_spot,expiry_spot,assigned_or_called,pnl_mark_to_expiry,cost_basis
SPY,CSP,2,2023-05-26,2023-06-23,SPY230623P00410000,410.0,3.3231,420.02,433.21,False,663.31,
SPY,CSP,1,2024-09-17,2024-10-18,SPY241018P00550000,550.0,5.6395,563.07,584.59,False,563.3,
SPY,CSP,1,2024-10-21,2024-11-15,SPY241115P00570000,570.0,4.8894,583.63,585.75,False,488.29,
SPY,CSP,2,2025-04-07,2025-05-02,SPY250502P00485000,485.0,5.3662,504.38,566.76,False,1071.94,
SPY,CSP,1,2025-05-05,2025-05-30,SPY250530P00535000,535.0,9.8196,563.51,589.39,False,981.31,
SPY,CSP,1,2025-06-02,2025-06-27,SPY250627P00565000,565.0,11.4051,592.71,614.91,False,1139.86,
SPY,CSP,1,2025-06-30,2025-07-25,SPY250725P00590000,590.0,11.2886,617.85,637.1,False,1128.2,
SPY,CSP,1,2026-04-06,2026-05-01,SPY260501P00645000,645.0,5.0271,658.93,720.65,False,502.06,
SPY,CSP,1,2026-05-04,2026-05-29,SPY260529P00700000,700.0,5.3454,718.01,745.64,False,533.89,
QQQ,CSP,2,2023-07-21,2023-08-18,QQQ230818P00365000,365.0,3.4631,375.63,358.13,True,-682.67,361.5433
QQQ,CC,2,2023-08-21,2023-09-15,QQQ230915C00375000,375.0,3.3627,363.9,370.81,False,671.24,358.1871
QQQ,CC,2,2023-09-18,2023-10-13,QQQ231013C00380000,380.0,3.8999,370.66,365.28,False,778.68,354.2937
QQQ,CC,2,2023-10-16,2023-11-10,QQQ231110C00380000,380.0,3.5781,369.41,378.39,False,714.32,350.7221
QQQ,CC,2,2023-11-13,2023-12-08,QQQ231208C00390000,390.0,3.7256,377.21,392.17,True,8599.39,
QQQ,CSP,2,2023-12-11,2024-01-05,QQQ240105P00385000,385.0,3.3317,395.52,396.75,False,665.05,
QQQ,CSP,2,2024-01-08,2024-02-02,QQQ240202P00395000,395.0,3.1956,404.95,429.01,False,637.83,
QQQ,CSP,2,2024-02-05,2024-03-01,QQQ240301P00420000,420.0,3.4122,428.45,445.61,False,681.14,
QQQ,CSP,2,2024-03-04,2024-03-29,QQQ240329P00435000,435.0,3.7055,444.02,444.01,False,739.81,
